Title,ReleaseDate,Popularity,Budget,Revenue
The Last of Us,'NaT',0.35,0,0
Cesta z mÄ›sta,'05/10/2000',0.019242,0,0
Di hou wu gong dui,'01/01/1995',0.003054,0,0
Hellraiser,'NaT',5.00E-06,0,0
A Daughter of the West,'01/01/1918',0.001923,0,0
The International,'03/02/2009',2.402189,50000000,60161391
M'Al Hahuravot,'02/01/1938',0.001882,0,0
Los nadie,'04/09/2016',0.089906,0,0
Shirli-Myrli,'06/06/1995',0.309284,1200000,0
Molly's Pilgrim,'01/01/1985',5.00E-06,0,0
How People Got Fire,'12/02/2009',0.0075,0,0
Trianon,'04/06/2005',0.00375,0,0
Vlad Tepes,'08/01/1979',0.000297,0,0
Aamdani Atthanni Kharcha Rupaiya,'21/12/2001',0.174505,0,0
Roaring Roads,'12/04/1935',0.144864,0,0
Lover's Discourse,'06/01/2011',0.018613,0,0
Kater,'13/02/2016',0.119644,0,0
Subtotal,'22/06/2014',0.091806,0,0
Fire!,'08/05/1977',0.017857,0,0
Amapola Del Camino,'17/09/1937',0.003531,0,0
It Had to Be You,'01/12/1947',0.001969,0,0
Biffy Clyro : Opposites,'NaT',0.000216,0,0
2005 - Renee Fleming & Claire Bloom,'02/12/2005',0.005625,0,0
Canine Patrol,'07/12/1945',0.001931,0,0
Auge/Maschine III,'01/01/2003',0.029065,0,0
The Trouble with Bliss,'01/10/2011',1.188783,0,0
R.L. Stine's The Haunting Hour: Scary Mary,'NaT',0.00162,0,0
Ayalvasi Oru Daridravasi,'07/11/1986',0,0,0
A Muddy Romance,'19/11/1913',0.003108,0,0
Anijam,'01/01/1984',0.006925,0,0
Black Star and the Golden Bat,'12/05/1979',0.002963,0,0
Roberta,'01/11/2014',0.028693,0,0
Tu Hai Mera Sunday,'15/10/2016',0.237591,0,0
Sharon and the Birds on the Way to the Wedding,'01/01/1987',0,0,0
Alive in the Deep,'07/05/1941',0.014781,0,0
I and i,'01/01/2014',0.024875,0,0
The Mechanics of Love,'01/01/1955',0.005057,0,0
Majesty,'12/05/2009',0.007506,0,0
Free Lisl: Fear & Loathing in Denver,'17/11/2006',0.006221,0,0
Los Tentados,'16/04/2013',0.016877,0,0
Wenn die Sonne wieder scheint,'01/01/1943',0.00459,0,0
A Stranger in Town,'NaT',0.002,0,0
Sucker Punch,'23/09/2003',0.013417,0,0
Simon Amstell: Do Nothing: Live,'22/11/2010',0.103248,0,0
Hollywood Ghosts & Gravesites,'27/05/2003',0.003936,0,0
Mama,'01/05/1990',0,0,0
Jacktown,'01/07/1962',0.002116,0,0
Le czar en France - dÃ©filÃ© des troupes,'NaT',0.002064,0,0
Fearmakers,'19/01/2008',0.007228,0,0
Fighting Mustang,'20/02/1948',0.002353,0,0
Watchers II,'16/08/1990',0.001925,0,0
Pneumenon,'14/04/2003',0.00375,0,0
Nagai Go no Kowai Zone: Kaiki,'24/08/1989',2.90E-05,0,0
The Wind is Watching,'NaT',3.00E-06,0,0
Sugar Coated,'25/04/2015',0.228153,0,0
The 13th Sign,'01/01/2000',0.001913,0,0
Bud Abbott and Lou Costello in Hollywood,'05/10/1945',0.01566,0,0
The Road Uphill,'23/12/2011',0.066468,0,0
ãÅ†ãÅ?ãÅ£ãÅ?!! OVA,'13/10/2012',0.015301,0,0
When Hari Got Married,'16/03/2013',0.021241,0,0
Cesta,'01/12/2014',0.045165,0,0
The Bedroom Window,'16/01/1987',2.565222,0,0
Four Corners,'07/02/2014',0.171083,0,0
Honey I Blew Up the Kid,'16/07/1992',3.693572,40000000,58662452
An Acquired Taste,'20/09/1982',1.00E-06,0,0
Afghan Stories,'30/04/2003',0.008288,0,0
Richelie,'11/03/2014',NaN,0,0
Blow-Up,'01/01/2000',0.001971,0,0
Ratko: The Dictator's Son,'01/06/2009',0.130217,0,0
From a Whisper,'09/10/2009',0.009698,0,0
